product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
8b41fbc2b984a12030090112324d1bc4,bebes,55,1627,1,500,20,13,13
d03bd02af9fff4b98f1c972315e5e9ef,moveis_decoracao,56,209,1,1800,40,10,30
bbf920aa6ac72007a726e6f419156f8f,moveis_decoracao,42,303,2,1300,25,16,25
a3a03c131926ec14d4c9f3ef03016b24,pet_shop,54,463,1,700,40,20,20
ce94e3c41145e28428cdae952a1fd7f2,relogios_presentes,58,899,2,335,17,11,12
e8fd6f481db77b847e7ab93fa1510e7e,eletroportateis,53,794,4,2700,20,26,32
cbaff83e2c00a2b731d27276bbf52082,artes,59,1431,6,7900,70,15,70
dd768d259ee6054e0dadd66c8e2be0b6,cama_mesa_banho,52,700,2,350,16,10,16
db7e6804f1a8206a7e51c9a741a09d9e,brinquedos,51,410,2,300,24,11,24
a1b3a75aaaee5c9a683f2266c088f720,relogios_presentes,53,599,2,350,16,11,11
4473f3e5c65952b074ef987fa5c24662,telefonia,59,776,6,350,17,4,12
8e71b24c3e25a92fef6176120a67fac7,informatica_acessorios,53,585,1,783,21,13,28
657491063e8a63247a108a4d9cedf020,brinquedos,25,274,1,3050,40,10,40
6d14f72afff32795290f2df6507f063c,malas_acessorios,59,413,3,2300,84,14,20
5e21d5cab5d33e770d8150a4ee6117db,relogios_presentes,60,312,4,200,16,2,11
dd783a33bc94bef9c728611320d559e7,beleza_saude,52,1113,1,150,16,12,11
0e40b1ed4cfd3da1962ec91913e54ba8,eletronicos,52,424,1,175,22,11,15
a1bf559ac1eab015ba992bd76d9d76c7,informatica_acessorios,32,1074,2,200,39,2,30
78119fbfa709d07b86f5ccf15043c6d6,cool_stuff,43,447,2,586,18,11,13
3c883b9d3fd2d0ce448d4136349dc0a4,cama_mesa_banho,49,153,1,550,23,15,23
f2c1df0fc307ec60e3321c708c1dcac3,cama_mesa_banho,42,431,1,850,40,6,50
b6b4ab44d1f3c2a645abbda76af2a993,relogios_presentes,54,364,1,1050,30,45,11
c6336fa91fbd87c359e44f5dca5a90ed,esporte_lazer,39,772,1,150,16,16,11
